Index,Data,Tstandard,Twithconstraint
1,graficon75nodi/grafo1451.75,0.801,0.651
2,graficon75nodi/grafo4156.75,2.542,2.37
3,graficon75nodi/grafo4187.75,7.277,9.081
4,graficon75nodi/grafo4203.75,14.845,18.751
5,graficon75nodi/grafo4233.75,11.28,9.29
6,graficon75nodi/grafo4253.75,0.553,0.634
7,graficon75nodi/grafo4274.75,34.424,32.648
8,graficon75nodi/grafo4276.75,2.582,2.948
9,graficon75nodi/grafo4292.75,58.941,52.438
10,graficon75nodi/grafo4355.75,1.779,2.211
11,graficon75nodi/grafo4383.75,14.023,11.832
12,graficon75nodi/grafo4449.75,13.122,9.432
13,graficon75nodi/grafo4519.75,2.78,3.07
14,graficon75nodi/grafo4537.75,5.164,5.376
15,graficon75nodi/grafo4640.75,8.488,9.237
16,graficon75nodi/grafo4669.75,0.694,0.772
17,graficon75nodi/grafo4674.75,130.202,121.629
18,graficon75nodi/grafo4683.75,1.555,1.648
19,graficon75nodi/grafo4724.75,42.174,41.448
20,graficon75nodi/grafo4725.75,66.273,69.383
21,graficon75nodi/grafo4797.75,39.635,46.464
22,graficon75nodi/grafo4802.75,0.613,0.677
23,graficon75nodi/grafo4870.75,5.701,6.726
24,graficon75nodi/grafo4903.75,93.896,95.507
25,graficon75nodi/grafo4989.75,13.446,11.885
26,graficon75nodi/grafo4992.75,4.604,4.361
27,graficon75nodi/grafo5037.75,1.144,1.22
28,graficon75nodi/grafo5060.75,3.462,2.725
29,graficon75nodi/grafo5169.75,6.066,5.031
30,graficon75nodi/grafo5263.75,24.114,25.243
31,graficon75nodi/grafo5280.75,8.359,8.544
32,graficon75nodi/grafo5363.75,19.42,21.925
33,graficon75nodi/grafo5434.75,5.317,5.41
34,graficon75nodi/grafo5540.75,12.97,10.557
35,graficon75nodi/grafo5588.75,11.569,13.377
36,graficon75nodi/grafo5594.75,11.359,9.175
37,graficon75nodi/grafo5859.75,25.083,25.516
38,graficon75nodi/grafo5933.75,38.215,29.642
39,graficon75nodi/grafo5938.75,256.484,269.943
40,graficon75nodi/grafo6005.75,301.17,301.326
41,graficon75nodi/grafo6016.75,6.141,6.701
42,graficon75nodi/grafo6486.75,27.826,29.611
43,graficon75nodi/grafo6681.75,48.226,67.579
44,graficon75nodi/grafo6700.75,5.416,6.045
45,graficon75nodi/grafo6772.75,12.059,12.606
46,graficon75nodi/grafo6954.75,1.141,0.951
47,graficon75nodi/grafo6995.75,1.814,1.905
48,graficon75nodi/grafo7803.75,28.516,28.576
49,graficon75nodi/grafo7864.75,3.446,3.474
50,graficon75nodi/grafo7926.75,3.333,3.512
51,graficon75nodi/grafo7937.75,11.42,13.159
52,graficon75nodi/grafo7964.75,11.939,11.5
53,graficon75nodi/grafo7973.75,301.17,301.287
54,graficon75nodi/grafo7993.75,91.934,94.732
55,graficon75nodi/grafo8029.75,45.392,47.419
56,graficon75nodi/grafo8056.75,0.953,1.019
57,graficon75nodi/grafo8084.75,0.882,0.927
58,graficon75nodi/grafo8099.75,6.54,6.439
59,graficon75nodi/grafo8120.75,26.188,20.856
60,graficon75nodi/grafo8162.75,3.364,2.972
61,graficon75nodi/grafo8166.75,66.786,73.325
62,graficon75nodi/grafo8174.75,4.29,4.982
63,graficon75nodi/grafo8197.75,9.404,10.884
64,graficon75nodi/grafo8235.75,1.712,1.835
65,graficon75nodi/grafo8343.75,18.007,19.753
66,graficon75nodi/grafo8381.75,1.379,1.412
67,graficon75nodi/grafo8406.75,33.192,30.916
68,graficon75nodi/grafo8426.75,29.484,23.688
69,graficon75nodi/grafo8433.75,6.247,5.836
70,graficon75nodi/grafo8458.75,7.586,7.196
71,graficon75nodi/grafo8459.75,1.687,2.663
72,graficon75nodi/grafo8466.75,29.471,22.963
73,graficon75nodi/grafo8493.75,2.666,3.175
74,graficon75nodi/grafo8507.75,0.729,0.878
75,graficon75nodi/grafo8517.75,3.517,3.584
76,graficon75nodi/grafo8524.75,0.695,0.809
77,graficon75nodi/grafo8546.75,3.819,3.959
78,graficon75nodi/grafo8548.75,20.975,23.891
79,graficon75nodi/grafo8622.75,9.005,10.798
80,graficon75nodi/grafo8633.75,13.539,13.145
81,graficon75nodi/grafo8634.75,34.903,30.137
82,graficon75nodi/grafo8638.75,6.328,6.753
83,graficon75nodi/grafo8639.75,28.552,29.167
84,graficon75nodi/grafo8663.75,2.304,2.446
85,graficon75nodi/grafo8906.75,17.436,15.376
86,graficon75nodi/grafo8939.75,7.105,7.406
87,graficon75nodi/grafo8961.75,301.484,301.668
88,graficon75nodi/grafo9024.75,0.695,0.808
89,graficon75nodi/grafo9050.75,5.035,5.32
90,graficon75nodi/grafo9105.75,17.638,16.693
91,graficon75nodi/grafo9147.75,60.757,76.041
92,graficon75nodi/grafo9161.75,113.799,127.458
93,graficon75nodi/grafo9188.75,0.82,0.824
94,graficon75nodi/grafo9226.75,11.192,11.176
95,graficon75nodi/grafo9281.75,7.815,7.192
96,graficon75nodi/grafo9290.75,5.373,5.556
97,graficon75nodi/grafo9353.75,76.677,68.634
98,graficon75nodi/grafo9414.75,133.564,164.405
99,graficon75nodi/grafo9502.75,34.628,35.633
100,graficon75nodi/grafo9505.75,2.612,2.468
101,graficon75nodi/grafo9545.75,2.712,2.813
102,graficon75nodi/grafo9645.75,9.257,10.707
103,graficon75nodi/grafo9735.75,1.895,1.822
104,graficon75nodi/grafo9736.75,0.351,0.399
105,graficon75nodi/grafo9768.75,31.554,32.538
106,graficon75nodi/grafo9782.75,12.291,12.992
107,graficon75nodi/grafo9802.75,301.069,301.35
108,graficon75nodi/grafo9845.75,41.274,39.047
109,graficon76nodi/grafo752.76,1.347,1.67
110,graficon76nodi/grafo2762.76,5.923,5.174
111,graficon76nodi/grafo4120.76,7.288,7.694
112,graficon76nodi/grafo4168.76,4.249,4.242
113,graficon76nodi/grafo4174.76,2.465,2.443
114,graficon76nodi/grafo4226.76,1.189,1.198
115,graficon76nodi/grafo4272.76,2.897,2.882
116,graficon76nodi/grafo4287.76,5.501,4.876
117,graficon76nodi/grafo4354.76,27.377,27.903
118,graficon76nodi/grafo4379.76,3.533,3.56
119,graficon76nodi/grafo4477.76,4.905,4.532
120,graficon76nodi/grafo4484.76,6.924,7.586
121,graficon76nodi/grafo4492.76,1.517,1.639
122,graficon76nodi/grafo4493.76,199.548,235.086
123,graficon76nodi/grafo4614.76,6.109,6.331
124,graficon76nodi/grafo4617.76,10.752,7.214
125,graficon76nodi/grafo4650.76,8.127,9.133
126,graficon76nodi/grafo4658.76,37.707,34.241
127,graficon76nodi/grafo4665.76,7.136,8.022
128,graficon76nodi/grafo4672.76,74.081,83.589
129,graficon76nodi/grafo4680.76,1.683,1.768
130,graficon76nodi/grafo4692.76,8.045,8.657
131,graficon76nodi/grafo4694.76,19.455,24.194
132,graficon76nodi/grafo4708.76,0.505,0.569
133,graficon76nodi/grafo4743.76,56.755,45.935
134,graficon76nodi/grafo4917.76,7.901,7.776
135,graficon76nodi/grafo4962.76,33.239,39.74
136,graficon76nodi/grafo5090.76,66.14,67.433
137,graficon76nodi/grafo5119.76,133.701,138.68
138,graficon76nodi/grafo5285.76,4.822,5.241
139,graficon76nodi/grafo5293.76,278.2,301.234
140,graficon76nodi/grafo5361.76,78.452,63.704
141,graficon76nodi/grafo5423.76,15.755,13.959
142,graficon76nodi/grafo5611.76,5.239,5.315
143,graficon76nodi/grafo5725.76,4.407,4.458
144,graficon76nodi/grafo5841.76,7.869,8.277
145,graficon76nodi/grafo5866.76,80.686,76.799
146,graficon76nodi/grafo5874.76,47.14,47.332
147,graficon76nodi/grafo5898.76,11.159,10.814
148,graficon76nodi/grafo6000.76,26.125,23.715
149,graficon76nodi/grafo6002.76,8.439,9.354
150,graficon76nodi/grafo6041.76,2.885,2.881
151,graficon76nodi/grafo6065.76,156.706,161.614
152,graficon76nodi/grafo6078.76,52.895,52.737
153,graficon76nodi/grafo6083.76,90.349,103.735
154,graficon76nodi/grafo6602.76,63.548,60.142
155,graficon76nodi/grafo6958.76,12.851,16.303
156,graficon76nodi/grafo7027.76,2.946,3.438
157,graficon76nodi/grafo7058.76,8.617,10.528
158,graficon76nodi/grafo7319.76,9.396,9.434
159,graficon76nodi/grafo7361.76,1.026,1.128
160,graficon76nodi/grafo7807.76,1.414,1.265
161,graficon76nodi/grafo7821.76,16.517,11.589
162,graficon76nodi/grafo7837.76,25.413,23.315
163,graficon76nodi/grafo7846.76,36.157,30.515
164,graficon76nodi/grafo7853.76,15.85,15.94
165,graficon76nodi/grafo7903.76,11.603,10.551
166,graficon76nodi/grafo7929.76,38.669,35.877
167,graficon76nodi/grafo7934.76,7.543,7.306
168,graficon76nodi/grafo7943.76,9.934,8.066
169,graficon76nodi/grafo7967.76,5.668,5.756
170,graficon76nodi/grafo7982.76,8.313,8.59
171,graficon76nodi/grafo8013.76,4.723,4.898
172,graficon76nodi/grafo8044.76,3.869,4.13
173,graficon76nodi/grafo8078.76,6.053,5.958
174,graficon76nodi/grafo8080.76,10.095,8.949
175,graficon76nodi/grafo8085.76,278.491,228.619
176,graficon76nodi/grafo8095.76,2.077,2.289
177,graficon76nodi/grafo8097.76,59.026,62.805
178,graficon76nodi/grafo8124.76,3.78,4.003
179,graficon76nodi/grafo8151.76,5.71,5.795
180,graficon76nodi/grafo8163.76,22.405,18.96
181,graficon76nodi/grafo8164.76,2.392,2.939
182,graficon76nodi/grafo8168.76,12.228,14.68
183,graficon76nodi/grafo8194.76,70.717,74.93
184,graficon76nodi/grafo8196.76,4.029,3.492
185,graficon76nodi/grafo8200.76,5.797,5.73
186,graficon76nodi/grafo8233.76,1.854,1.877
187,graficon76nodi/grafo8267.76,1.655,2.181
188,graficon76nodi/grafo8282.76,8.321,8.772
189,graficon76nodi/grafo8301.76,207.506,186.41
190,graficon76nodi/grafo8306.76,2.448,2.542
191,graficon76nodi/grafo8324.76,110.77,112.56
192,graficon76nodi/grafo8326.76,221.902,262.536
193,graficon76nodi/grafo8366.76,11.68,13.838
194,graficon76nodi/grafo8367.76,6.878,6.218
195,graficon76nodi/grafo8374.76,2.791,2.833
196,graficon76nodi/grafo8412.76,101.777,84.509
197,graficon76nodi/grafo8436.76,7.557,7.577
198,graficon76nodi/grafo8442.76,21.312,23.821
199,graficon76nodi/grafo8446.76,3.676,3.742
200,graficon76nodi/grafo8456.76,20.605,19.156
201,graficon76nodi/grafo8460.76,55.62,55.733
202,graficon76nodi/grafo8462.76,9.462,8.628
203,graficon76nodi/grafo8483.76,13.389,13.266
204,graficon76nodi/grafo8522.76,0.85,1.023
205,graficon76nodi/grafo8526.76,11.373,11.739
206,graficon76nodi/grafo8530.76,4.748,5.161
207,graficon76nodi/grafo8616.76,18.024,16.227
208,graficon76nodi/grafo9044.76,3.51,3.406
209,graficon76nodi/grafo9208.76,92.007,49.546
210,graficon76nodi/grafo9253.76,90.78,110.719
211,graficon76nodi/grafo9263.76,28.032,31.444
212,graficon76nodi/grafo9277.76,37.038,37.494
213,graficon76nodi/grafo9438.76,12.36,13.156
214,graficon76nodi/grafo9631.76,27.178,26.421
215,graficon76nodi/grafo9636.76,7.32,8.213
216,graficon76nodi/grafo9718.76,1.071,1.178
217,graficon76nodi/grafo9767.76,25.523,25.705
218,graficon76nodi/grafo9774.76,15.063,15.144
219,graficon76nodi/grafo9798.76,2.315,2.412
220,graficon76nodi/grafo9848.76,23.412,19.978
