GraphSize,CVcalc,AvgOptsPerMin,TargetOptsPerMin
r1.5k12n8,2156,17.695502769910714,10
r1.5k18n12,2739,231.82527276425336,10
r1.5k24n16,2372,139.37101182927046,10
r1.5k12n8,1683,110.12062552252962,10
r1.5k30n20,2201,47.82063045881097,10
r1.5k18n12,1451,359.13553420356055,10
r1.5k36n24,1495,21.33582188596039,10
r1.5k24n16,1158,155.95216079065773,10
r1.5k12n8,2873,15.919436850411111,10
r1.5k30n20,1330,53.639809431586706,10
r1.5k18n12,2516,253.49637509368398,10
r1.5k24n16,1883,142.17990437227553,10
r1.5k36n24,1072,23.094772515544587,10
r1.5k12n8,4309,15.759202534672355,10
r1.5k30n20,2678,45.65522352327918,10
r1.5k18n12,4108,99.18580932879418,10
r1.5k24n16,3558,111.8135742991471,10
r1.5k12n8,7900,15.676266208106025,10
r1.5k36n24,2897,17.135734433645677,10
r1.5k30n20,4017,42.5954321617354,10
r1.5k18n12,7532,0.19959460205241739,10
r1.5k24n16,6523,67.8219926888593,10
r1.5k12n8,15442,15.628968904652723,10
r1.5k18n12,5820,0.19987272580887602,10
r1.5k30n20,7364,18.127565958517813,10
r1.5k36n24,4345,15.362012842616238,10
r1.5k24n16,12749,0.23954534952680223,10
r1.5k12n8,30705,15.59294733772587,10
r1.5k18n12,4964,26.807567907527037,10
r1.5k30n20,14394,2.633422264069382,10
r1.5k24n16,9636,9.792485896010177,10
r1.5k36n24,7966,12.41404745336354,10
r1.5k12n8,61320,15.507559923040045,10
r1.5k18n12,5392,8.43382810392616,10
r1.5k30n20,10879,10.874269001407347,10
r1.5k24n16,8079,34.777519355084834,10
r1.5k12n8,122596,15.63526747243343,10
r1.5k36n24,15571,2.2753253730076963,10
r1.5k18n12,5178,14.746768679518876,10
r1.5k24n16,8857,22.559838771239594,10
r1.5k30n20,12636,6.401139974737387,10
r1.5k12n8,245170,15.70877998674121,10
r1.5k18n12,5285,6.825338613358442,10
r1.5k24n16,9246,15.881534256262066,10
r1.5k36n24,11768,7.540167856327834,10
r1.5k30n20,11757,8.47426363912253,10
r1.5k12n8,490329,15.839319867172794,10
r1.5k18n12,5231,8.386376679142199,10
r1.5k24n16,9441,11.583029169016605,10
r1.5k30n20,11318,8.336554721390737,10
r1.5k12n8,980652,15.880547388986196,10
r1.5k36n24,9867,9.425221583923426,10
r1.5k18n12,5204,17.34351164020217,10
r1.5k24n16,9538,16.87071964764295,10
r1.5k30n20,11098,9.747679181834567,10
r1.5k36n24,8916,10.832807076720826,10
r1.5k30n20,10988,10.015440821723507,10
r1.5k36n24,9391,10.467930870939771,10
r1.5k36n24,9629,10.424469818240246,10
r1.5k12n8,2705,15.270251123616822,50
r1.5k18n12,2309,293.3322182470958,50
r1.5k24n16,1316,142.45250209614477,50
r1.5k30n20,2213,44.46918913396219,50
r1.5k12n8,1982,32.79918769256564,50
r1.5k36n24,9748,10.474829105744874,10
r1.5k18n12,2243,300.5212666620363,50
r1.5k36n24,1711,20.024902172013515,50
r1.5k24n16,2589,120.14373748321437,50
r1.5k30n20,2380,41.7439609118969,50
r1.5k12n8,2730,15.666519646238907,50
r1.5k18n12,1762,354.08694939455444,50
r1.5k36n24,1530,20.33017126392034,50
r1.5k24n16,2645,119.86335070747327,50
r1.5k12n8,991,985.2085853272808,50
r1.5k30n20,1452,53.131906367454974,50
r1.5k18n12,3463,171.54030123628678,50
r1.5k24n16,3967,99.90414649994177,50
r1.5k36n24,2678,17.20754857298786,50
r1.5k12n8,1486,216.3018047762981,50
r1.5k30n20,1832,45.08708099254651,50
r1.5k18n12,6349,0.3198123708048492,50
r1.5k24n16,7273,39.55315511863322,50
r1.5k12n8,1734,88.89247869615049,50
r1.5k30n20,1642,46.849928478738526,50
r1.5k18n12,4906,32.361939500140274,50
r1.5k36n24,765,24.500295692819837,50
r1.5k24n16,5620,74.22019617991414,50
r1.5k12n8,1858,56.338534468891794,50
r1.5k18n12,4184,91.96489593562637,50
r1.5k30n20,1547,50.43463864344501,50
r1.5k36n24,382,24.46025088333422,50
r1.5k24n16,6446,55.996827817212576,50
r1.5k12n8,1920,46.417373577970366,50
r1.5k18n12,4545,55.30641682011701,50
r1.5k30n20,1594,47.12839556708336,50
r1.5k24n16,6859,54.636384073943006,50
r1.5k12n8,1889,53.82565208225837,50
r1.5k36n24,191,25.08962714811865,50
r1.5k18n12,4725,43.48838805594807,50
r1.5k30n20,1570,45.833597620433935,50
r1.5k24n16,7066,45.283837444280735,50
r1.5k12n8,1904,50.016420353611075,50
r1.5k18n12,4635,53.71131852907202,50
r1.5k36n24,95,29.383127473187194,50
r1.5k30n20,1558,50.15651586044032,50
r1.5k24n16,6962,47.55831017684757,50
r1.5k12n8,1912,48.09200370983719,50
r1.5k18n12,4680,46.55409827958136,50
r1.5k30n20,1564,49.027586147307524,50
r1.5k36n24,47,31.39995232227981,50
r1.5k24n16,6910,50.046665836016466,50
r1.5k12n8,1908,48.445163595261526,50
r1.5k18n12,4657,50.38596587364002,50
r1.5k30n20,1561,46.537206819101115,50
r1.5k24n16,6936,51.08496522564542,50
r1.5k36n24,23,32.40609870127991,50
r1.5k30n20,1559,49.207267980626426,50
r1.5k36n24,11,33.56922638250569,50
r1.5k36n24,5,31.63571303166733,50
r1.5k12n8,2386,15.829754674397483,100
r1.5k18n12,2163,329.47394917473196,100
r1.5k24n16,1536,145.31854594692467,100
r1.5k30n20,1072,56.49177199319672,100
r1.5k36n24,2,34.212960468492575,50
r1.5k12n8,1023,926.1981180666783,100
r1.5k36n24,1620,21.293924004190547,100
r1.5k18n12,1134,373.9930490235696,100
r1.5k24n16,1738,142.17598923614028,100
r1.5k30n20,2389,45.318242728563625,100
r1.5k12n8,2192,15.840557749191778,100
r1.5k18n12,2380,311.1233137852396,100
r1.5k36n24,1609,21.19913390835054,100
r1.5k24n16,1722,138.57580977580847,100
r1.5k30n20,1981,48.07554506244425,100
r1.5k12n8,1607,141.37039978837754,100
r1.5k18n12,3570,161.71757661160711,100
r1.5k24n16,2607,134.28466583916384,100
r1.5k36n24,1503,20.035466087757243,100
r1.5k12n8,1899,51.69778373825095,100
r1.5k30n20,536,61.5398005294802,100
r1.5k18n12,6545,0.23958087238536246,100
r1.5k24n16,4779,87.02843904531878,100
r1.5k12n8,1753,85.23315956391977,100
r1.5k30n20,268,69.97730439718237,100
r1.5k36n24,751,22.21190853415616,100
r1.5k18n12,5057,26.205573354597078,100
r1.5k24n16,3693,113.86574793761591,100
r1.5k12n8,1680,112.30867644483733,100
r1.5k30n20,134,97.31008252218301,100
r1.5k18n12,4313,87.9323449698717,100
r1.5k36n24,375,25.534353770467312,100
r1.5k24n16,4236,105.15027970215957,100
r1.5k12n8,1716,98.28793490370033,100
r1.5k18n12,3941,129.91734533223124,100
r1.5k30n20,67,114.86315146747229,100
r1.5k24n16,4507,97.46160957290381,100
r1.5k36n24,187,29.67360142804474,100
r1.5k12n8,1698,106.3603457285562,100
r1.5k18n12,4127,103.35817755532568,100
r1.5k30n20,100,108.82671888282395,100
r1.5k24n16,4371,97.38872639822826,100
r1.5k12n8,1707,103.15736385590665,100
r1.5k36n24,93,33.02453453472932,100
r1.5k18n12,4220,103.83823862336776,100
r1.5k30n20,117,104.33043010725535,100
r1.5k24n16,4303,101.51272726218478,100
r1.5k12n8,1711,103.32250933320229,100
r1.5k18n12,4266,92.57046275108823,100
r1.5k30n20,125,108.1214452227598,100
r1.5k36n24,46,40.77669056246975,100
r1.5k24n16,4337,111.43390579513964,100
r1.5k12n8,1713,103.49338555872733,100
r1.5k18n12,4243,94.20875996713384,100
r1.5k24n16,4354,117.08898407950244,100
r1.5k30n20,129,115.50329667045499,100
r1.5k36n24,23,45.489921278984454,100
r1.5k30n20,131,113.84005704213246,100
r1.5k36n24,11,46.659633758864956,100
r1.5k36n24,5,51.61713024314071,100
r1.5k36n24,2,44.87022978751613,100
